,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Genre_mean_rating,Director_encoded,Actor1_encoded,Actor2_encoded,Actor3_encoded
1,2019,109,Drama,7.0,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,6.248697068403909,7.0,6.85,7.0,7.0
3,2019,110,Comedy,4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,5.838422649140546,4.4,5.25,4.4,4.46
3,2019,110, Romance,4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,5.838738738738739,4.4,5.25,4.4,4.46
5,1997,147,Comedy,4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,5.838422649140546,5.335135135135135,4.793617021276596,5.7299999999999995,5.93
5,1997,147, Drama,4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,5.875793244626407,5.335135135135135,4.793617021276596,5.7299999999999995,5.93
5,1997,147, Musical,4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,6.289130434782608,5.335135135135135,4.793617021276596,5.7299999999999995,5.93
6,2005,142,Drama,7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,6.248697068403909,7.4071428571428575,5.456862745098039,6.828571428571428,6.671428571428572
6,2005,142, Romance,7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,5.838738738738739,7.4071428571428575,5.456862745098039,6.828571428571428,6.671428571428572
6,2005,142, War,7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,6.1466666666666665,7.4071428571428575,5.456862745098039,6.828571428571428,6.671428571428572
8,2012,82,Horror,5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,4.6875,5.599999999999999,5.599999999999999,5.8125,5.599999999999999
8,2012,82, Mystery,5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,5.8710204081632655,5.599999999999999,5.599999999999999,5.8125,5.599999999999999
8,2012,82, Thriller,5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,5.674915254237288,5.599999999999999,5.599999999999999,5.8125,5.599999999999999
9,2014,116,Action,4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,5.511985472154963,4.0,4.0,4.55,4.0
9,2014,116, Crime,4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,5.683443708609272,4.0,4.0,4.55,4.0
9,2014,116, Thriller,4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,5.674915254237288,4.0,4.0,4.55,4.0
10,2004,96,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,6.248697068403909,6.2,5.531578947368421,5.752380952380952,5.046666666666667
11,2016,120,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,4.6875,7.3,6.1000000000000005,5.9,5.9
12,1991,161,Horror,6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,4.6875,5.109375,5.22,6.031481481481482,5.1482758620689655
